Crisil Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated on: 15-Nov-2025 10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fund Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme Name,Benchmark,Riskometer Scheme,Riskometer Benchmark,NAV Date,NAV Regular,NAV Direct,Return 1 Year (%) Regular,Return 1 Year (%) Direct,Return 1 Year (%) Benchmark,Information Ratio* 1 Year (Regular),Information Ratio* 1 Year (Direct),Return 3 Year (%) Regular,Return 3 Year (%) Direct,Return 3 Year (%) Benchmark,Information Ratio* 3 Year (Regular),Information Ratio* 3 Year (Direct),Return 5 Year (%) Regular,Return 5 Year (%) Direct,Return 5 Year (%) Benchmark,Information Ratio* 5 Year (Regular),Information Ratio* 5 Year (Direct),Return 10 Year (%) Regular,Return 10 Year (%) Direct,Return 10 Year (%) Benchmark,Information Ratio* 10 Year (Regular),Information Ratio* 10 Year (Direct),Return Since Launch Regular,Return Since Launch Direct,Return Since Launch  Benchmark,Return Since Launch Direct Benchmark,Daily AUM (Cr.)
360 ONE Flexicap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,15.4582,16.0486,5.01,6.63,9.43,-0.86,-0.53,,,,,,,,,,,,,,,,20.02,21.92,18.74,18.74,2128.19
Aditya Birla Sun Life Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,1870.1400,2095.3300,11.65,12.53,9.79,0.63,0.94,17.31,18.26,16.07,0.34,0.63,18.52,19.50,19.26,-0.22,0.04,14.78,15.83,15.08,-0.07,0.19,21.18,16.91,,14.48,24610.12
Axis Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,27.1300,30.0500,8.65,9.75,9.79,-0.26,0.00,13.92,15.11,16.07,-0.47,-0.22,14.73,16.02,19.26,-0.91,-0.65,,,,,,13.32,14.78,13.82,13.82,13308.71
Bajaj Finserv Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,15.1310,15.6230,10.70,12.19,9.43,0.26,0.62,,,,,,,,,,,,,,,,20.19,21.91,17.40,17.40,6134.23
Bandhan Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,215.2850,235.9200,10.49,11.28,9.43,0.23,0.44,15.33,16.16,15.74,-0.16,0.07,17.51,18.35,19.21,-0.43,-0.24,11.97,12.78,15.14,-0.63,-0.48,16.46,14.65,,14.53,7714.42
Bank of India Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,35.7600,38.9000,5.05,6.60,9.43,-0.42,-0.24,21.33,23.08,15.74,0.77,0.97,23.52,25.43,19.21,0.60,0.83,,,,,,26.74,28.73,22.43,22.43,2257.43
Baroda BNP Paribas Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,15.9478,16.6938,6.17,7.47,9.79,-0.84,-0.53,15.78,17.38,16.07,-0.04,0.32,,,,,,,,,,,15.46,17.10,15.72,15.72,1290.91
Canara Robeco Flexi Cap Fund,BSE 500 TRI,Very High,Very High,13-Nov-2025,350.2500,394.2200,9.66,10.91,9.43,0.05,0.51,15.30,16.65,15.74,-0.19,0.25,17.16,18.61,19.21,-0.67,-0.22,14.41,15.60,15.14,-0.24,0.08,17.39,15.12,,14.53,13822.27
Capitalmind Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,10.0678,10.1070,,,,,,,,,,,,,,,,,,,,,,,,,202.28
DSP Flexi Cap Fund,Nifty 500 TRI,Very High,Very High,13-Nov-2025,104.9990,117.1390,6.17,7.28,9.79,-0.98,-0.68,17.27,18.50,16.07,0.26,0.52,18.09,19.35,19.26,-0.25,0.01,14.73,15.80,15.08,-0.07,0.14,13.59,15.64,12.24,14.54,12322.97
